School Name,City,State,Region,Zip,Latitude,Longitude,Acceptance Rate,Undergrads,Tuition (In-State) ,Average Cost of Attendence,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Hofstra University,Hempstead,New York,Northeastern,11549,40.715959,-73.60078,0.6222,6810,42160,55322,,46800,92700,48900,67000,135000,189000
Ithaca College,Ithaca,New York,Northeastern,14850-7002,42.422154,-76.494136,0.6992,6181,41776,58703,,42700,87400,50200,62400,128000,174000
Long Island University,Brooklyn,New York,Northeastern,11201-8423,40.690677,-73.981129,0.875,4139,36256,45269,,47300,93200,46300,62100,122000,169000
Mercy College,Dobbs Ferry,New York,Northeastern,10522,41.021626,-73.874447,0.7768,6286,18392,28848,,43700,62600,35600,47300,99000,134000
New York University (NYU),New York,New York,Northeastern,10012-1091,40.729452,-73.997264,0.3187,25716,49062,67637,,50300,95600,47500,65000,142000,216000
Niagara University,Niagara University,New York,Northeastern,14109,43.137279,-79.036689,0.8288,3045,30950,42261,,36900,69700,44000,57000,92000,128000
Pace University,New York,New York,Northeastern,10038-1598,40.711014,-74.004719,0.8368,8384,42772,58188,,53200,89700,44200,65400,129000,187000
"Polytechnic University of New York, Brooklyn",#N/A,New York,Northeastern,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Engineering,62400,114000,66800,94300,143000,190000
Pratt Institute,Brooklyn,New York,Northeastern,11205,40.691297,-73.96431,0.5765,3445,48154,62845,,43800,89900,48600,65400,123000,155000
Rensselaer Polytechnic Institute (RPI),Troy,New York,Northeastern,12180-3590,42.729978,-73.676646,0.4435,6200,50797,66172,Engineering,61100,110000,71600,85500,140000,182000
Rochester Institute of Technology (RIT),Rochester,New York,Northeastern,14623-5603,43.084188,-77.67386,0.5493,12638,38568,50713,Engineering,48900,84600,45000,62100,112000,159000
Siena College,Loudonville,New York,Northeastern,12211-1462,42.717602,-73.7526,0.7261,3144,34611,50481,Liberal Arts,45500,85200,38700,58400,129000,189000
Skidmore College,Saratoga Springs,New York,Northeastern,12866,43.097035,-73.785335,0.2908,2661,50834,64850,Liberal Arts,41600,74600,N/A,42800,147000,N/A
"St. John's University, New York",Queens,New York,Northeastern,11439,40.722523,-73.796104,0.6336,11757,39460,51345,,48000,93400,48000,65400,124000,181000
State University of New York (SUNY) at Albany,Albany,New York,Northeastern,12222,42.685489,-73.824662,0.5439,12955,9223,23777,State,44500,92200,47000,63100,135000,209000
State University of New York (SUNY) at Buffalo,Buffalo,New York,Northeastern,14222,42.933832,-78.882125,0.6407,8360,7701,20172,State,46200,81700,45900,61400,110000,147000
Stony Brook University,Stony Brook,New York,Northeastern,11794,40.91476,-73.12046,0.4067,16863,8999,22988,State,49500,93000,47200,67100,129000,181000
Syracuse University,Syracuse,New York,Northeastern,13244,43.040176,-76.136975,0.5232,14777,45022,61070,,45700,85900,46400,59400,119000,178000
Union College,Barbourville,New York,Northeastern,40906-1499,36.870875,-83.888477,0.6749,912,25135,35838,Liberal Arts,47200,95800,48700,75200,135000,230000
Vassar College,Poughkeepsie,New York,Northeastern,12604,41.686895,-73.895088,0.2688,2400,53090,65480,Liberal Arts,46000,94600,N/A,60600,123000,N/A
Appalachian State University,Boone,North Carolina,Southern,28608,36.215536,-81.680583,0.6832,16434,7136,18397,State,40400,69100,37200,50400,90800,115000
Davidson College,Davidson,North Carolina,Southern,28035,35.499767,-80.843979,0.2011,1791,48376,62894,Liberal Arts,46100,104000,N/A,70500,146000,N/A
Duke University,Durham,North Carolina,Southern,27708,36.001135,-78.937624,0.1083,6467,51265,67005,,58900,106000,56000,77400,149000,218000
East Carolina University (ECU),Greenville,North Carolina,Southern,27858-4353,35.607186,-77.368291,0.7034,22386,6997,20567,State,40200,67500,38400,52000,98700,151000
University of North Carolina at Chapel Hill (UNCH),Chapel Hill,North Carolina,Southern,27599,35.911769,-79.050969,0.2694,18169,8834,24327,State,42900,81500,43400,57500,117000,155000
University of North Carolina at Charlotte (UNCC),Charlotte,North Carolina,Southern,28223-0001,35.306022,-80.730919,0.6203,23246,6763,19723,State,43100,74000,38200,53200,99500,133000
University of North Carolina at Wilmington (UNCW),Wilmington,North Carolina,Southern,28403-5963,34.225223,-77.875527,0.7175,13608,6951,21642,State,37500,64400,32100,46600,97100,129000
Western Carolina University,Cullowhee,North Carolina,Southern,28723-9646,35.308979,-83.186258,0.4069,9002,6737,19921,State,36900,66600,39000,49500,94400,133000
North Carolina State University (NCSU),Raleigh,North Carolina ,Southern,27695-7001,35.785111,-78.674517,0.4751,22390,8880,22226,State,47200,83300,49200,64800,112000,153000
North Dakota State University (NDSU),Fargo,North Dakota,Midwestern,58108-6050,46.893127,-96.800838,0.928,11683,8327,19602,State,45100,77800,39000,55800,100000,123000
University of North Dakota,Grand Forks,North Dakota,Midwestern,58202-8193,47.921654,-97.071738,0.8369,10598,8136,19290,State,44000,80600,43400,56400,111000,157000
Bowling Green State University,Bowling Green,Ohio,Midwestern,43403,41.375513,-83.640896,0.7605,13901,11057,23423,State,39800,72100,38200,51800,101000,146000
Case Western Reserve University,Cleveland,Ohio,Midwestern,44106,41.507419,-81.609596,0.3544,5048,46006,61371,,56200,96500,54900,76500,123000,168000
Cleveland State University,Cleveland,Ohio,Midwestern,44115-2214,41.502281,-81.674355,0.8745,11752,9768,22462,State,43500,73100,39500,51600,97000,137000
Denison University,Granville,Ohio,Midwestern,43023,40.071505,-82.523272,0.4361,2261,48960,60604,Liberal Arts,42000,83500,N/A,62100,122000,N/A
Kent State University,Kent,Ohio,Midwestern,44242-0001,41.146653,-81.342533,0.8536,22907,10012,24231,State,38700,62600,36100,45800,87000,124000
Oberlin College,Oberlin,Ohio,Midwestern,44074,41.291992,-82.216795,0.2803,2895,52002,66870,Liberal Arts,43400,81600,N/A,46400,128000,N/A
Ohio State University (OSU),Columbus,Ohio,Midwestern,43210,39.999324,-83.014853,0.5411,44762,10037,25173,State,44900,83700,45500,60700,116000,162000
Ohio University,Athens,Ohio,Midwestern,45701-2979,39.326798,-82.100985,0.7485,23344,11744,27183,State,42200,73400,36600,52800,106000,150000
University of Akron,Akron,Ohio,Midwestern,44325-4702,41.078551,-81.511679,0.9592,15630,10270,23039,State,41100,70300,40600,53300,95200,127000
University of Toledo,Toledo,Ohio,Midwestern,43606-3390,41.660572,-83.614714,0.9432,15145,9547,23464,State,43100,75900,40100,54100,100000,133000
Wittenberg University,Springfield,Ohio,Midwestern,45504,39.934029,-83.815445,0.7832,1894,38090,49930,Liberal Arts,39200,78200,N/A,54100,131000,N/A
Oklahoma City University,Oklahoma City,Oklahoma,Southern,73106-1402,35.495271,-97.541242,0.7215,1777,30726,43811,,40000,64300,N/A,45400,80600,N/A
Oklahoma State University,Stillwater,Oklahoma,Southern,74078-1015,36.123085,-97.069743,0.7452,20827,8321,22059,State,42800,80700,40100,56500,114000,151000
University of Oklahoma,Norman,Oklahoma,Southern,73019-3072,35.209407,-97.444211,0.7084,21082,10881,25085,State,44700,82900,41200,60300,114000,167000
University of Tulsa,Tulsa,Oklahoma,Southern,74104-3189,36.152324,-95.945941,0.3696,3361,41509,53667,,42400,88700,42300,60300,120000,197000
Lewis & Clark College,Portland,Oregon,Western,97219-7899,45.450882,-122.669137,0.5495,2033,46894,59318,Liberal Arts,38900,72600,38200,53400,104000,140000
Oregon State University (OSU),Corvallis,Oregon,Western,97331,44.56395,-123.274723,0.7748,24350,10366,26189,State,45100,83300,46900,64000,113000,146000
Portland State University (PSU),Portland,Oregon,Western,97201,45.511601,-122.686289,0.8942,19057,8337,21532,State,42600,70900,40700,52300,94400,123000
Reed College,Portland,Oregon,Western,97202-8199,45.480959,-122.630348,0.3131,1376,52150,64386,Liberal Arts,40500,81100,N/A,67400,101000,N/A
University of Oregon,Eugene,Oregon,Western,97403,44.045146,-123.075792,0.7787,19775,10761,24209,State,42200,78400,38100,56200,117000,186000
Bucknell University,Lewisburg,Pennsylvania,Northeastern,17837,40.954317,-76.882616,0.2992,3531,51960,65350,Liberal Arts,54100,110000,62800,80600,156000,251000
Carnegie Mellon University (CMU),Pittsburgh,Pennsylvania,Northeastern,15213-3890,40.44357,-79.941993,0.2171,6188,52310,65877,Engineering,61800,111000,63300,80100,150000,209000
Drexel University,Philadelphia,Pennsylvania,Northeastern,19104,39.955217,-75.190051,0.7465,15350,51030,67821,,53400,93500,54900,72500,122000,161000
Duquesne University,Pittsburgh,Pennsylvania,Northeastern,15282,40.43589,-79.993123,0.7394,6019,35062,48219,,40700,84400,42600,59500,107000,131000
Franklin and Marshall College,Lancaster,Pennsylvania,Northeastern,17604-3003,40.048045,-76.319037,0.3637,2230,52290,65604,Liberal Arts,49100,92800,N/A,55800,185000,N/A
Gettysburg College,Gettysburg,Pennsylvania,Northeastern,17325,39.836597,-77.236792,0.4263,2385,50860,62370,Liberal Arts,44700,85800,N/A,66300,132000,N/A
Juniata College,Huntingdon,Pennsylvania,Northeastern,16652-2196,40.500523,-78.017292,0.746,1454,42170,53280,Liberal Arts,41800,78900,N/A,67200,110000,N/A
La Salle University (Philadelphia),Philadelphia,Pennsylvania,Northeastern,19141-1199,40.037979,-75.153061,0.7684,3542,41100,53044,,43400,84700,45300,57500,106000,151000
Lafayette College,Easton,Pennsylvania,Northeastern,18042-1768,40.69956,-75.209786,0.2829,2518,49635,63680,Liberal Arts,53900,107000,70600,79300,144000,204000
Lehigh University,Bethlehem,Pennsylvania,Northeastern,18015,40.606822,-75.380236,0.2611,5061,48320,60391,,59200,105000,69500,85000,160000,229000
Moravian College,Bethlehem,Pennsylvania,Northeastern,18018-6650,40.630947,-75.383638,0.7982,1908,40287,52257,Liberal Arts,42500,74400,N/A,56700,94900,N/A
Penn State - Harrisburg,Middletown,Pennsylvania,Northeastern,17057-4846,40.203766,-76.7423,0.8452,4109,14828,28621,State,45700,74000,44000,53100,104000,150000
Pennsylvania State University (PSU),University Park,Pennsylvania,Northeastern,16802-1503,40.7965,-77.862848,0.564,40891,17900,34777,State,49900,85700,46300,62000,117000,160000
Philadelphia University,Philadelphia,Pennsylvania,Northeastern,19144-5497,40.022882,-75.192645,0.6068,2675,37950,53128,,45100,80300,45800,61900,108000,141000
Pittsburg State University,Pittsburg,Pennsylvania,Midwestern,66762,37.392071,-94.702473,0.8734,5536,6910,17292,State,40400,58200,25600,46000,84600,117000
Swarthmore College,Swarthmore,Pennsylvania,Northeastern,19081,39.905159,-75.354278,0.128,1540,49104,64363,Liberal Arts,49700,104000,N/A,67200,167000,N/A
University of Pennsylvania,Philadelphia,Pennsylvania,Northeastern,19104-6303,39.950929,-75.19391,0.0944,10698,51464,66800,Ivy League,60900,120000,55900,79200,192000,282000
Ursinus College,Collegeville,Pennsylvania,Northeastern,19426-1000,40.193023,-75.456505,0.8242,1540,49370,62734,Liberal Arts,42100,80000,35600,54300,100000,160000
Villanova University,Villanova,Pennsylvania,Northeastern,19085-1699,40.039388,-75.345457,0.435,6862,49280,62583,,55800,101000,56800,76200,156000,226000
Widener University,Chester,Pennsylvania,Northeastern,19013-5792,39.861689,-75.355363,0.6973,3331,42870,55342,,52900,83400,42600,61400,106000,138000
Brown University,Providence,Rhode Island,Northeastern,2912,41.82617,-71.40385,0.0931,6580,51366,65380,Ivy League,56200,109000,55400,74400,159000,228000
Providence College,Providence,Rhode Island,Northeastern,02918-0001,41.842742,-71.437446,0.5503,3944,46970,60139,,48000,88600,42800,62900,138000,194000
Roger Williams University,Bristol,Rhode Island,Northeastern,02809-2921,41.650214,-71.260374,0.7926,4627,32100,49344,,42000,72300,39800,48500,102000,138000
University of Rhode Island (URI),Kingston,Rhode Island,Northeastern,2881,41.484691,-71.527356,0.7276,13788,12884,27552,State,43900,85300,45400,60100,112000,157000
Clemson University,Clemson,South Carolina,Southern,29634,34.679381,-82.835114,0.5054,18395,14708,27722,State,48400,86000,50500,61800,111000,150000
University of South Carolina,Columbia,South Carolina,Southern,29208,33.996788,-81.026935,0.6814,24970,11454,26362,State,40000,71700,36300,49900,98400,131000
Black Hills State University,Spearfish,South Dakota,Midwestern,57799-9500,44.494889,-103.870966,0.7976,2770,8004,19029,State,35300,43900,N/A,32200,60900,87600
South Dakota School of Mines & Technology,Rapid City,South Dakota,Midwestern,57701-3995,44.075439,-103.205753,0.845,2353,11160,23570,Engineering,55800,93400,71500,81900,122000,147000
South Dakota State University (SDSU),Brookings,South Dakota,Midwestern,57007-1898,44.317485,-96.782139,0.9076,9767,8172,25761,State,41100,73500,34100,49900,99400,129000
Austin Peay State University,Clarksville,Tennessee,Southern,37044,36.533319,-87.354081,0.8886,9116,7689,20429,State,37700,59200,32200,40500,73900,96200
"Lee University (Cleveland, TN)",Cleveland,Tennessee,Southern,37311,35.166166,-84.870018,0.8722,4261,15770,28577,,34500,53900,N/A,44500,76800,N/A
Tennessee Technological University,Cookeville,Tennessee,Southern,38505-0001,36.174659,-85.503957,0.6721,9184,8203,23109,Engineering,46200,80000,42100,62600,99500,121000
Tusculum College,Greeneville,Tennessee,Southern,37743,36.172558,-82.761716,0.744,1585,23125,35365,,36900,55500,36200,43000,87300,124000
University of Memphis (U of M),Memphis,Tennessee,Southern,38152,35.118878,-89.938068,0.5668,15962,9125,21761,State,41400,69700,36100,49100,93500,127000
University of Tennessee,Knoxville,Tennessee,Southern,37996,35.952082,-83.925852,0.7722,21984,12724,29626,State,43800,74600,41900,53200,106000,153000
Vanderbilt University,Nashville,Tennessee,Southern,37240,36.14659,-86.803369,0.1075,6844,45610,63532,,51200,104000,49900,68100,147000,222000
Baylor University,Waco,Texas,Southern,76798,31.54896,-97.117641,0.3972,14309,42006,56701,,48300,88600,46300,60700,130000,200000
Dallas Baptist University,Dallas,Texas,Southern,75211-9299,32.710017,-96.947006,0.4311,3109,26180,36371,,39400,60200,38500,50300,81800,98100
Lamar University,Beaumont,Texas,Southern,77705,30.042738,-94.072244,0.7618,9065,8146,19321,State,46500,79400,38700,51600,114000,158000
LeTourneau University,Longview,Texas,Southern,75602,32.467658,-94.72726,0.4419,1823,28480,41236,,49500,73800,41200,52700,95200,126000
Rice University,Houston,Texas,Southern,77005-1827,29.717897,-95.402035,0.1527,3879,43918,58253,,64000,110000,55900,82100,141000,216000
Tarleton State University (TSU),Stephenville,Texas,Southern,76401-0000,32.214988,-98.214866,0.5039,11461,7140,18362,State,40800,62400,32100,47400,80400,126000
Texas A&M University,College Station,Texas,Southern,77843-1248,30.618726,-96.336475,0.6717,50416,11036,24682,State,49700,96100,51100,71300,131000,171000
Texas Christian University (TCU),Fort Worth,Texas,Southern,76129,32.709568,-97.361537,0.3758,8852,42670,58040,,45100,78100,42600,56600,122000,183000
University of Houston (UH),Houston,Texas,Southern,77204-2018,29.720393,-95.343537,0.5854,34560,9519,23858,State,46000,79900,42000,56200,106000,141000
University of Texas (UT) - Austin,Austin,Texas,Southern,78712,30.282825,-97.738273,0.4037,39676,10092,26098,State,49700,93900,50100,67400,129000,188000
University of Texas at Arlington (UTA),Arlington,Texas,Southern,76013,32.729718,-97.11296,0.6982,32545,9616,22395,State,45400,80800,46400,61200,106000,138000
University of Texas at El Paso (UTEP),El Paso,Texas,Southern,79968-0691,31.771697,-106.50356,0.9999,20376,7548,15306,State,43400,72100,37700,50400,99500,133000
University of Texas at San Antonio (UTSA),San Antonio,Texas,Southern,78249-1644,29.582418,-98.621386,0.7641,24036,7700,19488,State,42500,70700,39100,49800,92700,121000
Brigham Young University (BYU),Provo,Utah,Western,84602,40.250851,-111.649281,0.5118,30979,5300,17395,,49400,88600,50600,68500,119000,164000
Southern Utah University,Cedar City,Utah,Western,84720,37.674617,-113.070146,0.7228,6353,6530,19029,State,41900,56500,N/A,39700,78400,116000
University of Utah,Salt Lake City,Utah,Western,84112-9008,40.762484,-111.846044,0.7642,22748,8518,18444,State,45400,83200,43000,58400,116000,148000
Utah State University,Logan,Utah,Western,84322-1400,41.740748,-111.81391,0.9025,21833,7426,18093,State,43800,78700,41600,55400,101000,132000
Utah Valley State College,Orem,Utah,Western,84058-5999,40.281078,-111.716456,NULL,26571,5530,13056,State,42400,67100,N/A,44100,84900,110000
Middlebury College,Middlebury,Vermont,Northeastern,5753,44.009117,-73.176068,0.1614,2513,50063,63456,Liberal Arts,47700,94200,N/A,69100,129000,N/A
University of Vermont (UVM),Burlington,Vermont,Northeastern,05405-0160,44.477325,-73.196646,0.6894,10267,17300,30573,State,44800,82700,44700,58000,122000,194000
George Mason University,Fairfax,Virginia,Southern,22030-4444,38.829976,-77.307428,0.8099,23179,11300,24347,State,47800,86900,51300,67200,114000,150000
Randolph-Macon College,Ashland,Virginia,Southern,23005-5505,37.76043,-77.478416,0.614,1429,38730,50444,Liberal Arts,42600,83600,N/A,54100,123000,N/A
University of Richmond,University of Richmond,Virginia,Southern,23173,37.577393,-77.538806,0.3248,3229,49420,61337,Liberal Arts,48600,94600,44500,59400,151000,211000
University of Virginia (UVA),Charlottesville,Virginia,Southern,22903-2628,38.035665,-78.503428,0.2986,15963,16412,29572,State,52700,103000,52200,71800,146000,215000
Virginia Commonwealth University (VCU),Richmond,Virginia,Southern,23284-2512,37.547631,-77.453597,0.8115,22614,13130,29278,State,42000,68400,37400,51900,100000,123000
Virginia Polytechnic Institute and State University (Virginia Tech),Blacksburg,Virginia,Southern,24061-0131,37.229012,-80.423675,0.7087,25725,12852,24855,Engineering,53500,95400,50600,71400,124000,163000
Virginia Wesleyan College (VWC),Virginia Beach,Virginia,Southern,23455,36.868417,-76.18606,0.8996,1342,35610,46730,,34600,54900,N/A,37100,88900,N/A
Washington and Lee University,Lexington,Virginia,Southern,24450-2116,37.788939,-79.443018,0.2358,1820,48267,62350,Liberal Arts,53600,104000,N/A,82800,146000,N/A
Eastern Washington University,Cheney,Washington,Western,99004-2496,47.490667,-117.583808,0.9548,10546,6951,20638,State,38600,70900,36000,50500,93100,117000
Evergreen State College,Olympia,Washington,Western,98505-0001,47.07382,-122.977492,0.9748,3732,7414,21953,Liberal Arts,39500,63900,38800,47200,91600,120000
Gonzaga University,Spokane,Washington,Western,99258-0001,47.666531,-117.400625,0.6729,5091,39730,53040,,44900,76000,47000,57400,103000,138000
Seattle University,Seattle,Washington,Western,98122-4340,47.608859,-122.318851,0.7363,4648,41265,56391,,48300,82800,50600,62400,110000,150000
University of Puget Sound,Tacoma,Washington,Western,98416,47.26308,-122.478982,0.789,2506,46552,59721,Liberal Arts,46600,81500,48900,60100,104000,137000
University of Washington (UW),Seattle,Washington,Western,98195-4550,47.65538,-122.30514,0.4535,29831,10753,25520,State,48800,85300,47000,59800,115000,149000
Washington State University (WSU),Pullman,Washington,Western,99164-5910,46.730448,-117.158168,0.7204,24362,11041,26441,State,45300,84700,43600,59000,113000,162000
Western Washington University,Bellingham,Washington,Western,98225-9008,48.737812,-122.485734,0.8312,14483,7903,22959,State,42700,75400,41300,56700,99200,119000
Whitman College,Walla Walla,Washington,Western,99362,46.069815,-118.331546,0.5108,1464,47862,59902,Liberal Arts,43500,80100,N/A,64800,111000,N/A
"American University, Washington D.C.",#N/A,District of Columbia,Southern,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,45300,90800,45200,62400,134000,169000
George Washington University (GWU),Washington,District of Columbia,Southern,20052,38.89923,-77.048363,0.4021,11244,51950,65218,,47000,97900,48400,69600,132000,194000
Georgetown University,Washington,District of Columbia,Southern,20057-0001,38.908809,-77.073463,0.1685,7112,50547,66971,,55000,110000,60300,85800,174000,248000
Howard University,Washington,District of Columbia,Southern,20059-0001,38.922392,-77.018966,0.3,5830,24908,43116,,46900,81800,43300,60000,109000,138000
West Virginia University (WVU),Morgantown,West Virginia,Southern,26506,39.634371,-79.954391,0.7612,21428,7992,19512,State,43100,78100,39700,55700,106000,141000
Marquette University,Milwaukee,Wisconsin,Midwestern,53233,43.03903,-87.927961,0.8434,8053,38470,51316,,48500,88400,49500,67400,121000,184000
University of Wisconsin (UW) - Eau Claire,Eau Claire,Wisconsin,Midwestern,54701,44.798284,-91.501906,0.78,9936,8812,19334,State,41400,64800,35000,47300,93100,125000
University of Wisconsin (UW) - Green Bay,Green Bay,Wisconsin,Midwestern,54311-7001,44.532298,-87.919973,0.7313,5509,7878,17979,State,35800,60600,35500,46800,81800,102000
University of Wisconsin (UW) - La Crosse,La Crosse,Wisconsin,Midwestern,54601-9959,43.81568,-91.23186,0.7424,9517,9091,17778,State,42200,69300,37500,47200,93100,133000
University of Wisconsin (UW) - Madison,Madison,Wisconsin,Midwestern,53706-1380,43.075409,-89.404098,0.5262,29536,10488,24594,State,48900,87800,47400,62400,118000,170000
University of Wisconsin (UW) - Milwaukee,Milwaukee,Wisconsin,Midwestern,53211,43.076848,-87.880488,0.7329,20018,9493,21771,State,42300,74600,40600,54000,93700,123000
University of Wisconsin (UW) - Oshkosh,Oshkosh,Wisconsin,Midwestern,54901,44.026206,-88.549369,0.6502,9551,7544,18143,State,39300,66400,37700,49700,90100,138000
University of Wisconsin (UW) - Parkside,Kenosha,Wisconsin,Midwestern,53144,42.647718,-87.855231,0.6246,4145,7367,15793,State,40700,71400,40900,53100,84900,119000
University of Wisconsin (UW) - Platteville,Platteville,Wisconsin,Midwestern,53818-3099,42.733451,-90.48622,0.8033,7745,7484,18316,State,45800,78500,48400,61200,100000,139000
University of Wisconsin (UW) - Stevens Point,Stevens Point,Wisconsin,Midwestern,54481-3897,44.529582,-89.570934,0.8142,8193,8159,17203,State,39800,64000,38400,45100,95400,128000
University of Wisconsin (UW) - Stout,Menomonie,Wisconsin,Midwestern,54751,44.873187,-91.926653,0.884,8202,9395,19002,State,43600,68300,40900,50600,91600,136000
University of Wisconsin (UW) - Whitewater,Whitewater,Wisconsin,Midwestern,53190-1790,42.835563,-88.742368,0.6935,10826,7650,18091,State,40800,75500,38200,53500,99300,150000
University of Wyoming (UW),Laramie,Wyoming,Western,82071,41.311773,-105.57931,0.9508,9622,5055,19169,State,44500,78700,41500,54000,105000,145000
State University of New York (SUNY) at Farmingdale,Farmingdale,New York,Northeastern,11735-1021,40.754224,-73.42832,0.5802,8591,7860,15256,State,47300,84200,50200,59800,110000,162000
State University of New York (SUNY) at Fredonia,Fredonia,New York,Northeastern,14063-1136,42.452236,-79.337375,0.6235,4352,8089,22935,State,37800,66200,32800,44200,93300,181000
State University of New York (SUNY) at Geneseo,Geneseo,New York,Northeastern,14454-1465,42.796645,-77.821894,0.6685,5480,8176,23393,State,42300,81300,39300,47600,117000,173000
State University of New York (SUNY) at Oneonta,Oneonta,New York,Northeastern,13820-4015,42.468861,-75.063632,0.5284,5708,7932,22769,State,37500,76700,40000,54300,97700,155000
State University of New York (SUNY) at Oswego,Oswego,New York,Northeastern,13126,43.454287,-76.540798,0.5452,7113,7961,22822,State,38000,77800,40400,53000,115000,169000
State University of New York (SUNY) at Plattsburgh,Plattsburgh,New York,Northeastern,12901-2681,44.69293,-73.466536,0.5103,5146,7866,22718,State,40800,76200,38400,54100,105000,136000
State University of New York (SUNY) at Potsdam,Potsdam,New York,Northeastern,13676-2294,44.662148,-74.973815,0.7178,3406,7964,22502,State,38000,70300,35100,51200,100000,179000
