School Name,City,State,Region,Zip,Latitude,Longitude,Acceptance Rate,Undergrads,Tuition (In-State) ,Average Cost of Attendence,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Fort Lewis College,Durango,Colorado,Western,81301-3999,37.275939,-107.867422,0.9212,3443,8104,24298,Liberal Arts,42000,69800,N/A,55000,94000,N/A
Regis University,Denver,Colorado,Western,80221-1099,39.788175,-105.030756,0.5659,4016,34450,45305,,48300,73800,41000,55500,94800,117000
University of Colorado - Boulder (UCB),Boulder,Colorado,Western,80309-0017,40.008781,-105.270823,0.7662,27376,11531,31393,State,47100,97600,51600,69000,128000,187000
University of Colorado - Denver,Denver,Colorado,Western,80217-3364,39.745149,-104.837722,0.6052,11228,9228,20306,State,46100,84400,46400,58600,105000,144000
Quinnipiac University,Hamden,Connecticut,Northeastern,6518,41.418915,-72.894117,0.7644,7042,43940,58713,,43000,76500,47900,57400,117000,155000
Sacred Heart University,Fairfield,Connecticut,Northeastern,06825-1000,41.220893,-73.243332,0.5721,5325,38300,54037,,46000,75300,39700,54800,105000,150000
University of Connecticut (UConn),Storrs,Connecticut,Northeastern,6269,41.809098,-72.249948,0.488,19030,14066,29128,State,48000,88800,46100,66400,120000,162000
University of New Haven,West Haven,Connecticut,Northeastern,06516-1916,41.291314,-72.961472,0.8053,4850,37060,51801,,44400,82900,48500,66100,113000,157000
"Wesleyan University (Middletown, Connecticut)",Middletown,Connecticut,Northeastern,6459,41.554665,-72.657146,0.1785,2913,50912,65443,Liberal Arts,46500,97900,42000,62500,126000,215000
Yale University,New Haven,Connecticut,Northeastern,6520,41.311158,-72.926688,0.0632,5471,49480,66445,Ivy League,59100,126000,58000,80600,198000,326000
University of Delaware,Newark,Delaware,Southern,19716,39.679577,-75.752822,0.695,18510,12830,24557,State,45900,84500,44500,64000,119000,165000
Embry-Riddle Aeronautical University (ERAU),Daytona Beach,Florida,Southern,32114-3900,29.189903,-81.048367,0.7072,5407,33886,49338,Engineering,52700,80700,49800,64000,106000,142000
Florida Atlantic University (FAU),Boca Raton,Florida,Southern,33431-0991,26.372421,-80.102978,0.5978,24221,4831,18992,State,42600,71100,40700,53000,99500,137000
Florida International University (FIU),Miami,Florida,Southern,33199,25.75732,-80.373928,0.5007,41112,6556,18873,State,43200,75500,40500,55800,98200,136000
Florida Metropolitan University (FMU),#N/A,Florida,Southern,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,36600,51000,32800,36800,70400,102000
Florida State University (FSU),Tallahassee,Florida,Southern,32306-1037,30.440756,-84.291921,0.5801,32417,6507,21938,State,42100,73000,39600,52800,107000,156000
Jacksonville University,Jacksonville,Florida,Southern,32211-3394,30.353227,-81.60458,0.4918,2841,33930,50441,,46700,66200,36700,47200,88500,121000
Saint Leo University,Saint Leo,Florida,Southern,33574-6665,28.336776,-82.257801,0.6974,10618,21440,35092,,40900,57800,34400,41800,80600,113000
University of Central Florida (UCF),Orlando,Florida,Southern,32816,28.602159,-81.200889,0.4999,55113,6368,21168,State,42600,71700,39500,51500,98400,125000
University of Florida (UF),Gainesville,Florida,Southern,32611,29.64629,-82.347911,0.4594,33309,6381,20571,State,47100,87900,45400,62900,120000,172000
University of South Florida (USF),Tampa,Florida,Southern,33620-9951,28.061458,-82.413232,0.4663,30553,6410,19652,State,41100,71100,39600,51500,98100,131000
Emory University,Atlanta,Georgia,Southern,30322,33.790183,-84.325512,0.2529,6717,47954,63058,,52000,91600,52500,63300,128000,192000
Georgia Institute of Technology,Atlanta,Georgia,Southern,30332-0530,33.77242,-84.394832,0.2577,14766,12212,25616,Engineering,58300,106000,67200,85200,137000,183000
Georgia State University,Atlanta,Georgia,Southern,30303-3083,33.7527,-84.38667,0.5884,24478,8974,24223,State,41800,74000,43000,55300,99900,145000
University of Georgia (UGA),Athens,Georgia,Southern,30602,33.956262,-83.374039,0.539,27851,11634,24991,State,44100,86000,43100,57800,118000,164000
University of Hawaii,Honolulu,Hawaii,Western,96822-2217,21.298598,-157.818979,0.8498,12767,11732,22153,State,43800,76000,40400,56300,104000,128000
Boise State University (BSU),Boise,Idaho,Western,83725,43.604284,-116.203301,0.8173,16045,7080,18298,State,40800,69500,37400,48700,87500,110000
Idaho State University,Pocatello,Idaho,Western,83209,42.863832,-112.432312,NULL,8307,6956,19526,State,44900,73400,35400,49600,101000,143000
University of Idaho,Moscow,Idaho,Western,83844-2282,46.727406,-117.014167,0.7589,7735,7232,20045,State,44900,82000,43000,56700,104000,142000
Bradley University,Peoria,Illinois,Midwestern,61625-0001,40.696896,-89.616786,0.6981,4464,32120,44130,,47000,87300,45900,64900,113000,151000
DePaul University,Chicago,Illinois,Midwestern,60604,41.877618,-87.62724,0.6975,15151,37626,50997,,46400,84800,50300,63900,115000,160000
